,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,deletions,additions,changedFiles,comments,org,repo,openTimeDays
0,OPEN,MDExOlB1bGxSZXF1ZXN0MTM0OTc1MTE0,MDEV-20514 Add feature summary at the end of cmake.,https://github.com/MariaDB/server/pull/434,2017-08-09 19:48:51+00:00,2020-03-26T06:31:41Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},434,CONTRIBUTOR,pprkut,,,10,179,21,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-08-09T21:18:06Z', 'updatedAt': '2017-08-09T21:18:06Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-321384217', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-08-10T05:56:22Z', 'updatedAt': '2017-08-10T06:32:56Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-321458172', 'author': {'login': 'pprkut'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-08-10T07:44:54Z', 'updatedAt': '2017-08-10T07:44:54Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-321477084', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-08-10T08:08:01Z', 'updatedAt': '2017-08-10T08:08:01Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-321482047', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-08-10T08:27:42Z', 'updatedAt': '2017-08-10T08:27:42Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-321486431', 'author': {'login': 'pprkut'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-08-12T16:00:18Z', 'updatedAt': '2017-08-12T16:00:18Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-321989783', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-08-12T16:04:22Z', 'updatedAt': '2017-08-12T16:04:22Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-321989992', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-08-13T12:05:30Z', 'updatedAt': '2017-08-13T12:05:30Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-322038111', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-01-17T09:13:39Z', 'updatedAt': '2018-01-17T09:13:39Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-358242807', 'author': {'login': 'pprkut'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-01-17T09:29:42Z', 'updatedAt': '2018-01-17T09:29:42Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-358246951', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-03-05T20:24:33Z', 'updatedAt': '2018-03-05T20:24:33Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-370552616', 'author': {'login': 'codership-jenkins'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-29T09:17:06Z', 'updatedAt': '2018-06-29T09:17:06Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-401298608', 'author': {'login': 'pprkut'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-30T07:58:40Z', 'updatedAt': '2018-06-30T07:58:40Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-401525296', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-06-30T08:49:47Z', 'updatedAt': '2018-06-30T08:49:47Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-401527669', 'author': {'login': 'pprkut'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-10-24T11:11:01Z', 'updatedAt': '2019-10-24T11:11:01Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-545868887', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-10-24T12:50:59Z', 'updatedAt': '2019-10-24T12:50:59Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-545902757', 'author': {'login': 'pprkut'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-12-03T09:29:00Z', 'updatedAt': '2019-12-03T09:29:50Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-561077986', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-03-26T06:31:41Z', 'updatedAt': '2020-03-26T06:31:41Z', 'url': 'https://github.com/MariaDB/server/pull/434#issuecomment-604255333', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server,143.1744097222222
1,CLOSED,MDExOlB1bGxSZXF1ZXN0MTYwMzk3MDA1,MDEV-15052 - Allow sysusers and tmpfiles install for non-systemd users,https://github.com/MariaDB/server/pull/528,2017-12-28 14:35:29+00:00,2020-01-24T12:20:26Z,2020-01-24 12:20:26+00:00,{'edges': [{'node': {'name': 'license-bsd-new'}}]},528,CONTRIBUTOR,thefallenrat,,,15,15,1,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-01-24T10:05:52Z', 'updatedAt': '2018-01-24T10:05:52Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-360081508', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-01-27T13:34:38Z', 'updatedAt': '2018-01-27T13:34:38Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-360985296', 'author': {'login': 'thefallenrat'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-03-05T20:24:09Z', 'updatedAt': '2018-03-05T20:24:09Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-370552467', 'author': {'login': 'codership-jenkins'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-01-07T09:08:24Z', 'updatedAt': '2019-01-07T09:08:24Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-451867396', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-04-03T22:29:30Z', 'updatedAt': '2019-04-03T22:29:30Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-479681952', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-04-03T22:41:31Z', 'updatedAt': '2019-04-03T22:41:42Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-479684752', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-04-10T17:20:11Z', 'updatedAt': '2019-04-10T17:23:31Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-481782586', 'author': {'login': 'fauust'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-07-29T05:20:45Z', 'updatedAt': '2019-08-03T12:04:46Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-515848448', 'author': {'login': 'thefallenrat'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-23T20:00:21Z', 'updatedAt': '2020-01-23T20:01:51Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-577850108', 'author': {'login': 'cvicentiu'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-24T12:20:26Z', 'updatedAt': '2020-01-24T12:20:26Z', 'url': 'https://github.com/MariaDB/server/pull/528#issuecomment-578109027', 'author': {'login': 'cvicentiu'}}}]}",MariaDB,server,2.392025462962963
2,CLOSED,MDExOlB1bGxSZXF1ZXN0MTU5OTg0MjIx,MDEV-14753 Fix build on OSX with 10.13 SDK,https://github.com/MariaDB/server/pull/524,2017-12-24 00:29:22+00:00,2018-01-24T12:17:51Z,2018-01-24 12:17:51+00:00,{'edges': []},524,CONTRIBUTOR,howard0su,,,1,1,1,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-01-08T12:08:39Z', 'updatedAt': '2018-01-08T12:08:39Z', 'url': 'https://github.com/MariaDB/server/pull/524#issuecomment-355950040', 'author': {'login': 'cvicentiu'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-01-08T15:49:23Z', 'updatedAt': '2018-01-08T15:49:23Z', 'url': 'https://github.com/MariaDB/server/pull/524#issuecomment-356004494', 'author': {'login': 'dr-m'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-01-16T10:33:55Z', 'updatedAt': '2018-01-16T10:33:55Z', 'url': 'https://github.com/MariaDB/server/pull/524#issuecomment-357919338', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-01-21T07:45:47Z', 'updatedAt': '2018-01-21T07:45:47Z', 'url': 'https://github.com/MariaDB/server/pull/524#issuecomment-359230171', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-01-24T07:50:48Z', 'updatedAt': '2018-01-24T07:50:48Z', 'url': 'https://github.com/MariaDB/server/pull/524#issuecomment-360048457', 'author': {'login': 'howard0su'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-01-24T12:17:48Z', 'updatedAt': '2018-01-24T12:17:48Z', 'url': 'https://github.com/MariaDB/server/pull/524#issuecomment-360113054', 'author': {'login': 'dr-m'}}}]}",MariaDB,server,6.979606481481482
3,CLOSED,MDExOlB1bGxSZXF1ZXN0MTU5Njc0NjQ5,fix some clang warnings,https://github.com/MariaDB/server/pull/522,2017-12-21 14:48:46+00:00,2018-09-28T16:00:24Z,2018-04-24 10:05:16+00:00,{'edges': []},522,CONTRIBUTOR,kevgs,,,140,138,45,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-12-21T15:49:24Z', 'updatedAt': '2017-12-21T15:49:24Z', 'url': 'https://github.com/MariaDB/server/pull/522#issuecomment-353384716', 'author': {'login': 'cvicentiu'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-12-21T15:55:10Z', 'updatedAt': '2017-12-21T15:55:10Z', 'url': 'https://github.com/MariaDB/server/pull/522#issuecomment-353386247', 'author': {'login': 'kevgs'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-12-27T13:07:31Z', 'updatedAt': '2017-12-27T13:07:31Z', 'url': 'https://github.com/MariaDB/server/pull/522#issuecomment-354111443', 'author': {'login': 'kevgs'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-01-18T13:15:45Z', 'updatedAt': '2018-01-18T13:15:45Z', 'url': 'https://github.com/MariaDB/server/pull/522#issuecomment-358643047', 'author': {'login': 'kevgs'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-03-05T20:24:10Z', 'updatedAt': '2018-03-05T20:24:10Z', 'url': 'https://github.com/MariaDB/server/pull/522#issuecomment-370552480', 'author': {'login': 'codership-jenkins'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-04-24T09:12:04Z', 'updatedAt': '2018-04-24T09:12:04Z', 'url': 'https://github.com/MariaDB/server/pull/522#issuecomment-383861278', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-04-24T10:05:16Z', 'updatedAt': '2018-04-24T10:05:16Z', 'url': 'https://github.com/MariaDB/server/pull/522#issuecomment-383877073', 'author': {'login': 'dr-m'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-04-24T10:14:03Z', 'updatedAt': '2018-04-24T10:14:03Z', 'url': 'https://github.com/MariaDB/server/pull/522#issuecomment-383879499', 'author': {'login': 'dr-m'}}}]}",MariaDB,server,9.382800925925926
4,CLOSED,MDExOlB1bGxSZXF1ZXN0MTU5NDI2Njk1,MDEV-16371 - Fix for memory write order inversion and other issues related to MW-328A,https://github.com/MariaDB/server/pull/520,2017-12-20 14:14:44+00:00,2019-09-23T11:30:24Z,2019-09-23 11:30:23+00:00,{'edges': []},520,CONTRIBUTOR,sysprg,,,60,88,17,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-03-05T20:24:12Z', 'updatedAt': '2018-03-05T20:24:12Z', 'url': 'https://github.com/MariaDB/server/pull/520#issuecomment-370552489', 'author': {'login': 'codership-jenkins'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-05-31T12:04:48Z', 'updatedAt': '2018-05-31T12:04:48Z', 'url': 'https://github.com/MariaDB/server/pull/520#issuecomment-393508623', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-09-23T11:30:23Z', 'updatedAt': '2019-09-23T11:30:23Z', 'url': 'https://github.com/MariaDB/server/pull/520#issuecomment-534059898', 'author': {'login': 'svoj'}}}]}",MariaDB,server,10.406435185185185
5,CLOSED,MDExOlB1bGxSZXF1ZXN0MTU5MDI3MjM0,SQL: renamed field_visibility to invisible,https://github.com/MariaDB/server/pull/517,2017-12-18 21:54:16+00:00,2020-05-20T12:46:28Z,2018-01-23 12:40:40+00:00,{'edges': []},517,CONTRIBUTOR,midenok,,,49,51,10,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-01-23T12:40:40Z', 'updatedAt': '2018-01-23T12:40:40Z', 'url': 'https://github.com/MariaDB/server/pull/517#issuecomment-359778476', 'author': {'login': 'svoj'}}}]}",MariaDB,server,12.087314814814814
6,CLOSED,MDExOlB1bGxSZXF1ZXN0MTU4NDg4MTQ2,MDEV-14578: mysql_install_db install unix_socket plugin when --auth-r…,https://github.com/MariaDB/server/pull/514,2017-12-14 23:21:01+00:00,2019-01-09T22:47:06Z,2018-05-18 06:12:34+00:00,{'edges': []},514,MEMBER,grooverdan,,,16,87,6,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-03-05T20:24:14Z', 'updatedAt': '2018-03-05T20:24:14Z', 'url': 'https://github.com/MariaDB/server/pull/514#issuecomment-370552509', 'author': {'login': 'codership-jenkins'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-04-06T05:08:49Z', 'updatedAt': '2018-04-06T05:08:49Z', 'url': 'https://github.com/MariaDB/server/pull/514#issuecomment-379149489', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-05-18T06:12:34Z', 'updatedAt': '2018-05-18T06:12:34Z', 'url': 'https://github.com/MariaDB/server/pull/514#issuecomment-390105066', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-01-09T22:47:06Z', 'updatedAt': '2019-01-09T22:47:06Z', 'url': 'https://github.com/MariaDB/server/pull/514#issuecomment-452898302', 'author': {'login': 'dbjpanda'}}}]}",MariaDB,server,16.027071759259258
7,CLOSED,MDExOlB1bGxSZXF1ZXN0MTU4MDEyNzQ4,MDEV-15043 - Scripts: compilation warnings suppression,https://github.com/MariaDB/server/pull/511,2017-12-13 06:27:01+00:00,2020-05-20T12:46:23Z,2018-01-24 12:10:31+00:00,{'edges': []},511,CONTRIBUTOR,midenok,,,0,141,3,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-01-24T07:35:44Z', 'updatedAt': '2018-01-24T07:35:44Z', 'url': 'https://github.com/MariaDB/server/pull/511#issuecomment-360045619', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-01-24T12:10:31Z', 'updatedAt': '2018-01-24T12:10:31Z', 'url': 'https://github.com/MariaDB/server/pull/511#issuecomment-360111454', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-01-24T12:18:35Z', 'updatedAt': '2018-01-24T12:23:45Z', 'url': 'https://github.com/MariaDB/server/pull/511#issuecomment-360113237', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-01-24T12:54:29Z', 'updatedAt': '2018-01-24T12:54:29Z', 'url': 'https://github.com/MariaDB/server/pull/511#issuecomment-360122007', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-01-24T13:11:44Z', 'updatedAt': '2018-01-24T13:13:28Z', 'url': 'https://github.com/MariaDB/server/pull/511#issuecomment-360127528', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-01-24T13:18:33Z', 'updatedAt': '2018-01-24T13:18:33Z', 'url': 'https://github.com/MariaDB/server/pull/511#issuecomment-360129934', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-01-24T22:46:03Z', 'updatedAt': '2018-01-24T22:49:09Z', 'url': 'https://github.com/MariaDB/server/pull/511#issuecomment-360299832', 'author': {'login': 'vaintroub'}}}]}",MariaDB,server,17.731238425925927
